route_station_id,station_seq,is_start,is_end,route_id,station_id
1,1,1,0,100000004,113000053
2,2,0,0,100000004,113000056
3,3,0,0,100000004,102000133
4,4,0,0,100000004,102000134
5,5,0,0,100000004,101000013
6,6,0,0,100000004,101000006
7,7,0,0,100000004,101000047
8,8,0,0,100000004,101000046
9,9,0,0,100000004,101000014
10,10,0,0,100000004,101000011
11,11,0,0,100000004,101000010
12,12,0,0,100000004,101000009
13,13,0,0,100000004,113000055
14,14,0,1,100000004,113000058
15,1,1,0,100000008,123000169
16,2,0,0,100000008,123000173
17,3,0,0,100000008,123000174
18,4,0,0,100000008,123000158
19,5,0,0,100000008,123000157
20,6,0,0,100000008,123000155
21,7,0,0,100000008,124000088
22,8,0,0,100000008,124000120
23,9,0,0,100000008,124000173
24,10,0,0,100000008,124000171
25,11,0,0,100000008,124000169
26,12,0,0,100000008,123000376
27,13,0,0,100000008,123900005
28,14,0,0,100000008,123000033
29,15,0,0,100000008,104000072
30,16,0,0,100000008,104000062
31,17,0,0,100000008,104000049
32,18,0,0,100000008,104000050
33,19,0,0,100000008,104000134
34,20,0,0,100000008,104000135
35,21,0,0,100000008,104000136
36,22,0,0,100000008,104000125
37,23,0,0,100000008,104000121
38,24,0,0,100000008,104000108
39,25,0,0,100000008,104000120
40,26,0,0,100000008,104000117
41,27,0,0,100000008,104000097
42,28,0,0,100000008,104000098
43,29,0,0,100000008,104000100
44,30,0,0,100000008,123000508
45,31,0,0,100000008,123000045
46,32,0,0,100000008,123000047
47,33,0,0,100000008,123000108
48,34,0,0,100000008,123000113
49,35,0,0,100000008,123000136
50,36,0,0,100000008,123000137
51,37,0,0,100000008,123000132
52,38,0,0,100000008,123000138
53,39,0,0,100000008,123000140
54,40,0,0,100000008,123000175
55,41,0,0,100000008,123000172
56,42,0,1,100000008,123000170
57,1,1,0,100000009,104000096
58,2,0,0,100000009,104000168
59,3,0,0,100000009,104000118
60,4,0,0,100000009,104000119
61,5,0,0,100000009,104000109
62,6,0,0,100000009,104000110
63,7,0,0,100000009,104000111
64,8,0,0,100000009,104000139
65,9,0,0,100000009,104000141
66,10,0,0,100000009,104000138
67,11,0,0,100000009,104000290
68,12,0,0,100000009,104000051
69,13,0,0,100000009,104000057
70,14,0,0,100000009,104000071
71,15,0,0,100000009,123000143
72,16,0,0,100000009,124000196
73,17,0,0,100000009,124000170
74,18,0,0,100000009,124000172
75,19,0,0,100000009,124000174
76,20,0,0,100000009,124000119
77,21,0,0,100000009,123000144
78,22,0,0,100000009,123000153
79,23,0,0,100000009,123000154
80,24,0,0,100000009,123000156
81,25,0,0,100000009,123000141
82,26,0,0,100000009,123000139
83,27,0,0,100000009,123000129
84,28,0,0,100000009,123000130
85,29,0,0,100000009,123000300
86,30,0,0,100000009,123000131
87,31,0,0,100000009,123000125
88,32,0,0,100000009,123000126
89,33,0,0,100000009,123000043
90,34,0,0,100000009,123000044
91,35,0,0,100000009,123000507
92,36,0,0,100000009,104000101
93,37,0,0,100000009,104000094
94,38,0,0,100000009,104000092
95,39,0,0,100000009,104000090
96,40,0,1,100000009,104000116
97,1,1,0,100000011,100000184
98,2,0,0,100000011,100000183
99,3,0,1,100000011,100000009
100,1,1,0,100000012,100000009
101,2,0,0,100000012,100000184
102,3,0,1,100000012,100000183
103,1,1,0,100000014,100000343
104,2,0,0,100000014,100000019
105,3,0,0,100000014,100000170
106,4,0,0,100000014,100000173
107,5,0,1,100000014,100000018
108,1,1,0,100000015,121000167
109,2,0,0,100000015,121000166
110,3,0,0,100000015,121000165
111,4,0,0,100000015,121000533
112,5,0,0,100000015,121000532
113,6,0,0,100000015,121000531
114,7,0,0,100000015,121000530
115,8,0,0,100000015,121000149
116,9,0,0,100000015,121000024
117,10,0,0,100000015,121000022
118,11,0,0,100000015,121000020
119,12,0,0,100000015,121000135
120,13,0,0,100000015,121000142
121,14,0,0,100000015,121000057
122,15,0,0,100000015,121000027
123,16,0,0,100000015,121000028
124,17,0,0,100000015,121000038
125,18,0,0,100000015,122000184
126,19,0,0,100000015,122000185
127,20,0,0,100000015,122000178
128,21,0,0,100000015,122000166
129,22,0,0,100000015,122000045
130,23,0,0,100000015,122000046
131,24,0,0,100000015,122000032
132,25,0,0,100000015,122000033
133,26,0,0,100000015,122000024
134,27,0,0,100000015,122000025
135,28,0,0,100000015,122000026
136,29,0,0,100000015,122000082
137,30,0,0,100000015,122000065
138,31,0,0,100000015,104000127
139,32,0,0,100000015,104000123
140,33,0,0,100000015,104000124
141,34,0,0,100000015,104000137
142,35,0,0,100000015,103000110
143,36,0,0,100000015,103000091
144,37,0,0,100000015,103000090
145,38,0,0,100000015,122000064
146,39,0,0,100000015,122000077
147,40,0,0,100000015,122000059
148,41,0,0,100000015,122000651
149,42,0,0,100000015,122000050
150,43,0,0,100000015,122000013
151,44,0,0,100000015,122000014
152,45,0,0,100000015,122000019
153,46,0,0,100000015,122000324
154,47,0,0,100000015,122000165
155,48,0,0,100000015,122000179
156,49,0,0,100000015,122000180
157,50,0,0,100000015,122000181
158,51,0,0,100000015,121000091
159,52,0,0,100000015,121000092
